ExtractDate,FHRSID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingDate,Longitude,Latitude
2/14/2014,556092,Kelvingrove Cafe,Restaurant/Cafe/Canteen,1,1163 Argyle Street,Glasgow,G3 8TB,6/4/2013,-4.285222,55.864816
2/14/2014,111373,Kelvingrove Museum and Art Gallery (KG Cafe And Coffee Bar),Restaurant/Cafe/Canteen,1,1 Kelvingrove Park,Glasgow,G3 8AG,1/27/2011,-4.290564,55.86842
2/14/2014,104710,Kelvinside Academy Playing Grounds,Restaurant/Cafe/Canteen,1,1030 Great Western Road,Glasgow,G12 0NP,1/29/2009,-4.309133,55.884771
2/14/2014,10028,Kember And Jones,Restaurant/Cafe/Canteen,1,134 Byres Road,Glasgow,G12 8TD,11/24/2013,-4.295156,55.873646
2/14/2014,132791,Kenburn Social Club,Restaurant/Cafe/Canteen,1,43 Vulcan Street,Glasgow,G21 4BP,5/14/2010,-4.232732,55.881185
2/14/2014,111791,Kennishead Tenants Hall,Restaurant/Cafe/Canteen,1,10 Kennishead Avenue,Glasgow,G46 8RA,10/7/2010,-4.323675,55.813163
2/14/2014,92234,Kentucky Fried Chicken,Restaurant/Cafe/Canteen,1,20 Cuthbertson Street,Glasgow,G42 7RJ,11/21/2011,-4.265492,55.839171
2/14/2014,18979,Kentucky Fried Chicken,Restaurant/Cafe/Canteen,1,5 Darnley Mains Road,Glasgow,G53 7RH,7/8/2011,-4.340714,55.805056
2/14/2014,53571,Kentucky Fried Chicken,Restaurant/Cafe/Canteen,1,178 Argyle Street,Glasgow,G2 8BT,4/2/2012,-4.256303,55.858645
2/14/2014,56102,Ketchup / Radio / Nude,Restaurant/Cafe/Canteen,1,46 Ashton Lane,Glasgow,G12 8SJ,1/7/2014,-4.292992,55.87463
2/14/2014,47803,KFC,Restaurant/Cafe/Canteen,1,10 Westhorn Drive,Glasgow,G32 8YX,10/7/2013,-4.169764,55.835838
2/14/2014,24903,KFC,Restaurant/Cafe/Canteen,1,382 Helen Street,Glasgow,G51 3AD,11/22/2013,-4.319128,55.853684
2/14/2014,22628,KFC (Great Britain) Ltd,Restaurant/Cafe/Canteen,1,981 Gallowgate,Glasgow,G31 4BW,11/18/2013,-4.212689,55.85489
2/14/2014,82804,Khublai Khan,Restaurant/Cafe/Canteen,1,26 Candleriggs,Glasgow,G1 1LD,10/15/2012,-4.245418,55.857757
2/14/2014,629293,Kids And Adults Together In Sighthill,Restaurant/Cafe/Canteen,1,1 Fountainwell Square,Glasgow,G21 1RL,1/28/2014,-4.238256,55.874092
2/14/2014,360833,Killermont Polo Club,Restaurant/Cafe/Canteen,1,2022 Maryhill Road,Glasgow,G20 0AB,8/23/2013,-4.300785,55.898265
2/14/2014,48958,Kimbles,Restaurant/Cafe/Canteen,1,55 St Enoch Square,Glasgow,G1 4BW,9/13/2013,-4.254458,55.857412
2/14/2014,31107,Kings,Restaurant/Cafe/Canteen,1,64 Renfield Street,Glasgow,G2 1NQ,4/17/2013,-4.255608,55.863475
2/14/2014,132425,King's Lodge,Restaurant/Cafe/Canteen,1,91 Union Street,Glasgow,G1 3TA,12/3/2013,-4.257374,55.860297
2/14/2014,65863,King's Theatre,Restaurant/Cafe/Canteen,1,297 Bath Street,Glasgow,G2 4JN,9/10/2010,-4.268745,55.865112
2/14/2014,113043,Kingswood Bowling Club,Restaurant/Cafe/Canteen,1,17 Kingsbrae Avenue,Glasgow,G44 4PP,4/5/2011,-4.247809,55.823354
2/14/2014,618965,Kinning Perk,Restaurant/Cafe/Canteen,1,8 Harvie Street,Glasgow,G51 1BW,11/21/2013,-4.289387,55.852767
2/14/2014,36403,Kirstie Birr,Restaurant/Cafe/Canteen,1,22 Parkbrae Avenue,Glasgow,G20 9PH,11/19/2010,-4.265767,55.889712
2/14/2014,22952,Knife And Fork Cafe,Restaurant/Cafe/Canteen,1,460 Duke Street,Glasgow,G31 1QN,3/5/2013,-4.215535,55.85829
2/14/2014,123761,Koh I Noor,Restaurant/Cafe/Canteen,1,225 North Street,Glasgow,G3 7DL,5/28/2013,-4.272258,55.866153
2/14/2014,128384,Konaki,Restaurant/Cafe/Canteen,1,922 Sauchiehall Street,Glasgow,G3 7TF,12/9/2012,-4.284479,55.865774
2/14/2014,25964,Kool Ba,Restaurant/Cafe/Canteen,1,109 Candleriggs,Glasgow,G1 1NP,12/29/2013,-4.2458,55.858838
2/14/2014,10836,KPMG  (Restaurant Associates),Restaurant/Cafe/Canteen,1,191 West George Street,Glasgow,G2 2LB,6/14/2011,-4.258531,55.862334
2/14/2014,200657,Kushion,Restaurant/Cafe/Canteen,1,158 Bath Street,Glasgow,G2 4TB,4/25/2012,-4.260932,55.864609
2/14/2014,19456,La Bodega,Restaurant/Cafe/Canteen,1,1120 South Street,Glasgow,G14 0AP,11/18/2013,-4.354441,55.876947
2/14/2014,48576,La Catering (The Pod),Restaurant/Cafe/Canteen,1,1 Lonmay Road,Glasgow,G33 4EL,12/2/2011,-4.145026,55.865687
2/14/2014,49192,La Famiglia,Restaurant/Cafe/Canteen,1,109 Cleveden Road,Glasgow,G12 0JU,12/1/2011,-4.307365,55.888651
2/14/2014,124638,La Fiorentina,Restaurant/Cafe/Canteen,1,2 Paisley Road West,Glasgow,G51 1LE,5/7/2013,-4.279751,55.853836
2/14/2014,108509,La Lanterna,Restaurant/Cafe/Canteen,1,35 Hope Street,Glasgow,G2 6AE,11/6/2013,-4.259536,55.859557
2/14/2014,104693,La Parmigana,Restaurant/Cafe/Canteen,1,449 Great Western Road,Glasgow,G12 8HH,10/20/2013,-4.280988,55.874934
2/14/2014,95677,La Riviera,Restaurant/Cafe/Canteen,1,147 Dumbarton Road,Glasgow,G11 6PT,1/29/2013,-4.300132,55.87047
2/14/2014,612677,La Rotunda,Restaurant/Cafe/Canteen,1,28 Tunnel Street,Glasgow,G3 8HL,11/28/2013,-4.283461,55.859322
2/14/2014,126907,La Tasca,Restaurant/Cafe/Canteen,1,39 Renfield Street,Glasgow,G2 1JS,9/11/2013,-4.257098,55.861875
2/14/2014,26713,La Tasca,Restaurant/Cafe/Canteen,1,763 Barrhead Road,Glasgow,G53 6AG,9/26/2013,-4.342073,55.822898
2/14/2014,26598,La Vallee Blanche,Restaurant/Cafe/Canteen,1,360 Byres Road,Glasgow,G12 8AR,2/19/2013,-4.290518,55.877408
2/14/2014,15649,La Vita Pizzeria,Restaurant/Cafe/Canteen,1,161 Queen Street,Glasgow,G1 3BJ,10/26/2013,-4.252121,55.860663
2/14/2014,594126,Laboratorio Espresso,Restaurant/Cafe/Canteen,1,93 West Nile Street,Glasgow,G1 2SH,1/27/2014,,
2/14/2014,108514,Ladbrokes Racing Ltd,Restaurant/Cafe/Canteen,1,101 Hope Street,Glasgow,G2 6LL,7/8/2010,-4.259448,55.86079
2/14/2014,36364,Lady Emily Cakes,Restaurant/Cafe/Canteen,1,49 Westland Drive,Glasgow,G14 9PE,1/31/2011,-4.337305,55.879917
2/14/2014,19447,Lamora,Restaurant/Cafe/Canteen,1,1170 Argyle Street,Glasgow,G3 8TE,11/28/2013,-4.28642,55.865621
2/14/2014,114735,Langside Cafe,Restaurant/Cafe/Canteen,1,33 Langside Place,Glasgow,G41 3DL,10/17/2013,-4.272459,55.826901
2/14/2014,114802,Lansdowne Restaurant,Restaurant/Cafe/Canteen,1,7 Lansdowne Crescent,Glasgow,G20 6NQ,11/19/2013,-4.276185,55.874538
2/14/2014,624669,Las Iguanas,Restaurant/Cafe/Canteen,1,18 West Nile Street,Glasgow,G1 2PW,1/15/2014,-4.254967,55.860962
2/14/2014,79544,Lauras Coffee Shop,Restaurant/Cafe/Canteen,1,15 Busby Road,Glasgow,G76 9BY,5/12/2011,-4.235333,55.790382
2/14/2014,507902,Lazarette Cafe,Restaurant/Cafe/Canteen,1,150 Pointhouse Place,Glasgow,G3 8RS,2/1/2013,-4.268697,55.86017
2/14/2014,221700,Le Bistro Beaumartin,Restaurant/Cafe/Canteen,1,161 Hope Street,Glasgow,G2 2UQ,1/14/2014,-4.258531,55.862334
2/14/2014,624652,Leonardo And Co,Restaurant/Cafe/Canteen,1,283 Sauchiehall Street,Glasgow,G2 3HQ,1/9/2014,-4.263947,55.865326
2/14/2014,96002,Lets Eat,Restaurant/Cafe/Canteen,1,10 Dundasvale Court,Glasgow,G4 0JS,9/27/2012,-4.258981,55.868986
2/14/2014,607014,Levy Restaurants,Restaurant/Cafe/Canteen,1,1 Scottish Exhibition Centre,Glasgow,G3 8YW,10/23/2013,-4.288154,55.86087
2/14/2014,594143,Levy Restaurants / SSE Hydro,Restaurant/Cafe/Canteen,1,Congress Road,Glasgow,G3 8YW,10/9/2013,-4.288154,55.86087
2/14/2014,315927,Light Bite,Restaurant/Cafe/Canteen,1,17 Sinclair Drive,Glasgow,G42 9PR,8/27/2013,-4.266867,55.826564
2/14/2014,109656,Lily's,Restaurant/Cafe/Canteen,1,103 Ingram Street,Glasgow,G1 1DX,8/17/2010,-4.245656,55.859397
2/14/2014,124156,Linda's Lunchbox,Restaurant/Cafe/Canteen,1,420 Old Shettleston Road,Glasgow,G32 7JZ,12/2/2010,-4.16989,55.852417
2/14/2014,48224,Lindens Catering,Restaurant/Cafe/Canteen,1,226 South Street,Glasgow,G11 6JY,11/12/2013,-4.328072,55.870987
2/14/2014,95166,Linthouse Bowling Club,Restaurant/Cafe/Canteen,1,15 Drumoyne Avenue,Glasgow,G51 4AP,7/20/2010,-4.329597,55.860416
2/14/2014,556102,Little Botanica,Restaurant/Cafe/Canteen,1,741 Pollokshaws Road,Glasgow,G41 2AA,6/6/2013,-4.270716,55.835902
2/14/2014,79746,Little Italy,Restaurant/Cafe/Canteen,1,205 Byres Road,Glasgow,G12 8TN,5/14/2013,-4.29507,55.874348
2/14/2014,480305,Little Roma Cafe,Restaurant/Cafe/Canteen,1,16 Norby Road,Glasgow,G11 7BN,11/27/2013,-4.323825,55.876145
2/14/2014,221699,Little SoHo Jordanhill Bar Pizzeria,Restaurant/Cafe/Canteen,1,512 Crow Road,Glasgow,G13 1NU,8/26/2013,-4.325679,55.883894
